channel,most_probable_adc,threshold_1_delta,threshold_2_delta
0,2057,3,3
1,2057,3,3
2,2060,3,3
3,2066,3,3
4,2066,3,4
5,2063,3,3
6,2065,3,3
7,2070,3,3
8,2060,3,3
9,2062,3,3
10,2076,3,3
11,2069,3,3
12,2069,3,3
13,2060,3,3
14,2061,3,3
15,2071,3,3
16,2062,3,3
17,2057,3,3
18,2065,3,3
19,2073,3,3
20,2064,3,3
21,2054,3,3
22,2059,3,3
23,2062,3,3
24,2064,3,3
25,2066,3,3
26,2054,3,3
27,2061,3,3
28,2064,3,4
29,2070,3,3
30,2064,3,3
31,2064,3,4
32,2065,3,3
33,2058,3,3
34,2063,3,3
35,2041,12,12
36,2063,3,3
37,2060,3,3
38,2052,3,4
39,2053,3,3
40,2057,3,3
41,2059,3,3
42,2053,3,3
43,2052,3,3
44,2059,3,3
45,2064,3,4
46,2053,3,3
47,2059,3,3
48,2057,3,3
49,2059,3,4
50,2058,3,4
51,2056,3,4
52,2061,3,4
53,2053,3,4
54,2064,3,4
55,2052,9,10
56,2040,3,4
57,2068,3,4
58,2056,3,4
59,2063,3,4
60,2064,3,4
61,2060,3,4
62,2062,3,4
63,2067,3,4
64,2056,3,4
65,2058,3,3
66,2068,3,3
67,2062,3,4
68,2052,4,10
69,2057,3,3
70,2065,3,3
71,2064,3,3
72,2054,3,3
73,2057,3,3
74,2053,3,3
75,2058,3,3
76,2068,3,4
77,2060,3,3
78,2059,3,3
79,2061,3,4
80,2056,3,4
81,2057,3,4
82,2061,3,4
83,2052,3,4
84,2061,3,4
85,2054,3,4
86,2052,3,4
87,2054,3,4
88,2054,3,4
89,2052,3,4
90,2057,3,4
91,2057,3,4
92,2056,4,4
93,2063,3,4
94,2056,3,4
95,2061,3,4
96,2032,4,4
97,2031,3,4
98,2037,4,4
99,2035,4,4
100,2034,4,4
101,2034,4,4
102,2031,3,4
103,2051,11,11
104,2033,3,4
105,2037,3,4
106,2037,3,4
107,2027,3,4
108,2038,3,4
109,2034,4,4
110,2034,4,4
111,2029,3,4
112,2029,3,4
113,2031,3,4
114,2034,3,4
115,2034,3,4
116,2027,4,4
117,2029,3,4
118,2031,4,4
119,2031,3,4
120,2039,3,4
121,2029,3,4
122,2028,3,4
123,2032,3,4
124,2037,3,4
125,2032,3,4
126,2035,3,4
127,2035,4,4
128,2031,4,4
129,2030,4,4
130,2031,3,4
131,2052,3,4
132,2035,3,4
133,2034,3,4
134,2022,3,4
135,2030,3,4
136,2029,3,4
137,2039,4,4
138,2035,4,4
139,2037,3,4
140,2031,4,4
141,2037,3,4
142,2038,3,4
143,2033,3,4
144,2031,3,4
145,2039,3,4
146,2036,3,4
147,2026,4,4
148,2030,3,4
149,2030,3,4
150,2031,4,4
151,2027,3,4
152,2039,4,4
153,2020,4,4
154,2033,4,4
155,2011,4,4
156,2037,4,4
157,2034,4,4
158,2028,3,4
159,2034,4,4
160,2018,3,4
161,2017,4,4
162,2022,3,4
163,2024,3,4
164,2018,3,4
165,2020,3,4
166,2012,3,4
167,2013,3,4
168,2017,3,4
169,2019,3,4
170,2012,3,4
171,2025,3,4
172,2017,3,4
173,2014,3,4
174,2015,4,4
175,2023,3,4
176,2019,4,4
177,2017,4,4
178,2021,3,4
179,2026,3,4
180,2023,4,4
181,2019,4,4
182,2013,4,4
183,2022,4,4
184,2015,3,4
185,2007,4,4
186,2024,4,4
187,2019,4,4
188,2017,4,4
189,2021,4,4
190,2019,4,4
191,2019,4,4
192,2061,4,4
193,2066,4,4
194,2062,4,4
195,2058,4,4
196,2063,4,4
197,2051,11,11
198,2058,4,4
199,2060,4,4
200,2063,4,4
201,2064,4,4
202,2041,12,13
203,2062,4,4
204,2069,4,4
205,2065,4,4
206,2064,4,4
207,2059,4,4
208,2056,4,4
209,2061,4,4
210,2066,4,4
211,2059,4,4
212,2062,4,4
213,2062,4,4
214,2054,4,4
215,2061,4,4
216,2062,4,4
217,2053,4,4
218,2060,4,4
219,2058,4,4
220,2061,4,4
221,2062,4,5
222,2057,4,4
223,2061,4,5
224,2053,4,5
225,2034,4,4
226,2039,4,4
227,2054,4,5
228,2031,4,4
229,2039,4,4
230,2041,12,13
231,2052,4,4
232,2055,4,4
233,2037,4,4
234,2053,4,4
235,2058,4,5
236,2053,4,4
237,2036,4,5
238,2036,4,4
239,2037,4,4
240,2036,4,4
241,2039,4,5
242,2041,4,5
243,2051,4,5
244,2052,4,8
245,2054,4,4
246,2056,4,4
247,2060,4,4
248,2038,4,4
249,2041,4,5
250,2053,4,4
251,2052,4,5
252,2038,4,4
253,2051,10,11
254,2052,4,5
255,2038,4,5
256,2033,4,5
257,2035,4,5
258,2033,4,5
259,2039,4,5
260,2034,4,4
261,2031,4,4
262,2029,4,4
263,2037,4,4
264,2038,4,4
265,2034,4,4
266,2027,4,4
267,2033,4,5
268,2037,4,5
269,2034,4,5
270,2033,4,5
271,2025,4,5
272,2030,4,5
273,2038,4,5
274,2031,4,5
275,2021,4,4
276,2042,11,12
277,2037,4,5
278,2037,4,4
279,2058,4,4
280,2033,4,4
281,2030,4,5
282,2041,4,6
283,2028,4,5
284,2039,4,5
285,2039,4,5
286,2030,4,5
287,2032,4,5
288,2039,4,5
289,2039,4,5
290,2042,11,12
291,2058,4,5
292,2035,4,5
293,2052,4,5
294,2037,4,5
295,2038,4,5
296,2039,4,5
297,2038,4,5
298,2039,4,5
299,2041,12,12
300,2039,4,5
301,2052,4,5
302,2024,4,5
303,2056,4,5
304,2036,4,5
305,2030,4,5
306,2036,4,5
307,2039,4,5
308,2031,4,5
309,2035,4,5
310,2033,4,5
311,2054,4,5
312,2035,4,5
313,2053,4,5
314,2030,4,5
315,2040,4,5
316,2029,4,5
317,2040,4,5
318,2054,4,5
319,2053,4,5
320,2042,10,11
321,2025,4,5
322,2031,4,5
323,2029,4,5
324,2054,4,5
325,2036,4,5
326,2038,4,5
327,2052,4,5
328,2039,4,5
329,2036,4,5
330,2031,4,5
331,2039,4,5
332,2038,4,5
333,2037,4,5
334,2038,4,5
335,2041,11,12
336,2028,4,5
337,2036,4,5
338,2037,4,5
339,2037,4,5
340,2031,4,5
341,2053,4,5
342,2036,4,5
343,2038,4,5
344,2033,4,5
345,2037,4,5
346,2057,4,5
347,2033,4,5
348,2037,4,5
349,2035,4,5
350,2037,4,5
351,2029,4,5
352,2055,4,5
353,2054,4,5
354,2064,4,5
355,2054,4,5
356,2058,4,5
357,2056,4,5
358,2057,4,5
359,2056,4,5
360,2061,4,5
361,2065,4,5
362,2035,4,5
363,2068,4,5
364,2054,4,5
365,2057,4,5
366,2052,4,5
367,2039,4,5
368,2056,4,5
369,2057,4,5
370,2062,4,5
371,2056,4,5
372,2064,4,5
373,2056,4,5
374,2063,4,5
375,2060,4,5
376,2064,4,5
377,2061,4,5
378,2064,4,5
379,2056,4,5
380,2067,4,5
381,2064,4,5
382,2058,4,5
383,2056,4,5
384,2038,4,5
385,2039,4,5
386,2033,5,6
387,2037,4,5
388,2037,4,5
389,2052,5,8
390,2031,4,5
391,2037,4,5
392,2037,4,5
393,2028,4,5
394,2038,4,5
395,2034,4,5
396,2034,4,5
397,2031,4,5
398,2033,4,5
399,2034,4,5
400,2039,4,5
401,2029,4,5
402,2037,4,5
403,2034,4,5
404,2033,4,5
405,2039,4,5
406,2025,4,5
407,2039,4,5
408,2037,4,5
409,2052,5,9
410,2029,4,5
411,2031,5,5
412,2041,5,6
413,2037,5,6
414,2050,10,11
415,2034,5,6
416,2056,5,6
417,2056,5,6
418,2042,10,11
419,2068,5,6
420,2064,5,6
421,2052,5,6
422,2039,5,6
423,2041,5,6
424,2057,5,6
425,2055,5,6
426,2052,5,6
427,2041,5,6
428,2054,5,6
429,2053,5,6
430,2055,5,6
431,2031,5,6
432,2058,5,6
433,2041,10,12
434,2056,5,6
435,2053,5,6
436,2056,5,6
437,2053,5,6
438,2033,5,6
439,2055,5,6
440,2056,5,6
441,2056,5,6
442,2054,5,6
443,2052,5,6
444,2060,5,6
445,2041,5,6
446,2062,5,6
447,2056,5,6
448,2010,5,6
449,2007,5,6
450,2007,5,6
451,2017,4,6
452,2024,5,6
453,2002,5,6
454,2010,5,6
455,2018,5,6
456,2017,5,6
457,2003,5,6
458,2012,5,6
459,2010,5,6
460,2011,5,6
461,2020,5,6
462,2007,5,6
463,2010,5,6
464,2006,5,6
465,2010,5,6
466,2013,5,6
467,2019,5,6
468,2014,5,6
469,2010,5,6
470,2005,5,6
471,2011,5,6
472,2011,5,6
473,2007,5,6
474,2009,5,6
475,2019,5,6
476,2011,5,6
477,2009,5,6
478,2009,5,6
479,2009,5,6
480,2014,5,6
481,2004,5,6
482,2013,5,6
483,2015,5,6
484,2003,5,6
485,2001,5,6
486,2011,5,6
487,2013,5,6
488,2011,5,6
489,1999,5,6
490,2004,5,6
491,2016,5,6
492,2010,5,6
493,2004,5,6
494,2006,5,6
495,2007,5,6
496,2009,5,6
497,2003,5,6
498,2015,5,6
499,2001,5,6
500,2008,5,6
501,2013,5,6
502,2003,5,6
503,2014,5,6
504,2000,5,6
505,2004,5,6
506,2007,5,6
507,2004,5,6
508,2017,5,6
509,2010,5,7
510,2007,5,6
511,2015,5,7
512,2029,5,7
513,2026,5,6
514,2019,5,6
515,2022,5,6
516,2022,5,6
517,2015,5,6
518,2027,5,6
519,2024,5,6
520,2021,5,6
521,2025,5,7
522,2019,5,6
523,2018,5,6
524,2014,5,6
525,2023,5,6
526,2030,5,7
527,2029,5,7
528,2018,5,7
529,2022,5,7
530,2023,5,7
531,2025,5,7
532,2033,5,7
533,2018,5,7
534,2026,5,7
535,2019,5,6
536,2019,5,7
537,2017,5,7
538,2018,5,7
539,2026,5,7
540,2031,5,7
541,2026,5,7
542,2015,5,7
543,2023,5,7
544,2058,5,7
545,2061,5,7
546,2059,2,3
547,2057,5,7
548,2060,5,7
549,2060,5,7
550,2059,5,7
551,2064,5,7
552,2064,5,7
553,2038,5,6
554,2062,5,7
555,2056,5,7
556,2052,8,11
557,2061,5,7
558,2059,5,7
559,2056,5,7
560,2057,5,7
561,2052,7,10
562,2056,5,7
563,2052,6,9
564,2068,5,7
565,2068,6,7
566,2053,5,7
567,2057,5,7
568,2054,5,7
569,2056,5,7
570,2041,6,7
571,2061,5,7
572,2054,6,7
573,2056,6,7
574,2054,6,7
575,2066,6,7
576,2021,7,9
577,2020,6,7
578,2017,6,7
579,2017,6,7
580,2017,6,7
581,2013,6,7
582,2007,6,8
583,2025,6,7
584,2015,6,7
585,2017,6,7
586,2018,6,7
587,2014,6,7
588,2025,6,7
589,2015,6,8
590,2005,6,7
591,2026,6,7
592,2021,6,7
593,2029,6,7
594,2020,6,7
595,2019,6,7
596,2027,6,7
597,2017,6,7
598,2020,6,7
599,2023,6,8
600,2013,6,8
601,2015,6,8
602,2010,6,8
603,2005,6,8
604,2025,6,8
605,2024,6,8
606,2009,9,12
607,2013,4,5
608,2017,5,7
609,2011,5,7
610,2021,5,7
611,2020,5,7
612,2012,5,7
613,2011,5,7
614,2022,5,7
615,2020,5,7
616,2021,5,7
617,2005,5,7
618,2004,5,7
619,2017,5,7
620,2007,5,7
621,2011,5,7
622,2011,5,7
623,2019,5,7
624,2021,5,7
625,2009,5,7
626,1996,5,7
627,2011,5,7
628,2009,5,7
629,2017,5,7
630,2013,5,7
631,2012,5,7
632,2015,5,7
633,2021,6,7
634,2005,5,7
635,2011,5,7
636,2014,5,7
637,2015,5,7
638,2005,5,7
639,2007,5,7
640,2024,6,7
641,2031,6,8
642,2023,6,7
643,2029,5,7
644,2052,10,12
645,2025,5,7
646,2024,5,7
647,2020,5,7
648,2026,5,7
649,2028,5,7
650,2027,6,7
651,2029,5,7
652,2025,6,7
653,2026,5,7
654,2033,6,7
655,2021,6,7
656,2023,6,7
657,2019,6,7
658,2020,6,7
659,2022,6,7
660,2026,5,7
661,2037,6,8
662,2021,6,7
663,2027,6,7
664,2025,6,7
665,2029,6,7
666,2027,5,7
667,2026,6,8
668,2024,6,7
669,2020,6,7
670,2037,6,7
671,2029,6,8
672,2035,7,8
673,2039,6,8
674,2029,6,8
675,2022,6,8
676,2031,6,8
677,2035,6,8
678,2028,6,8
679,2037,6,8
680,2036,6,8
681,2036,6,8
682,2039,6,8
683,2036,6,8
684,2039,6,8
685,2035,6,8
686,2038,6,8
687,2026,6,8
688,2025,6,8
689,2031,6,8
690,2027,6,8
691,2035,6,8
692,2031,6,8
693,2034,6,8
694,2034,6,8
695,2039,6,8
696,2027,6,8
697,2034,6,8
698,2031,6,8
699,2029,6,8
700,2029,6,8
701,2041,6,8
702,2035,6,8
703,2035,7,9
704,2026,6,8
705,2027,6,8
706,2026,6,8
707,2023,6,8
708,2025,6,8
709,2022,6,8
710,2027,6,8
711,2025,6,8
712,2026,6,8
713,2020,6,8
714,2025,6,8
715,2027,6,8
716,2024,6,8
717,2017,6,8
718,2026,6,8
719,2026,6,8
720,2013,6,8
721,2021,6,8
722,2025,6,8
723,2026,6,8
724,2021,6,8
725,2029,6,8
726,2030,6,8
727,2015,6,8
728,2026,6,8
729,2014,6,8
730,2028,6,8
731,2028,6,8
732,2029,6,8
733,2025,6,8
734,2027,6,8
735,2025,6,8
736,2053,7,9
737,2039,6,8
738,2052,6,9
739,2033,6,8
740,2039,6,8
741,2062,6,9
742,2051,12,13
743,2054,6,9
744,2041,6,8
745,2061,6,8
746,2039,6,8
747,2060,6,8
748,2042,6,8
749,2054,6,9
750,2062,6,8
751,2054,6,9
752,2039,6,8
753,2056,6,9
754,2050,12,13
755,2041,6,8
756,2040,6,8
757,2039,6,8
758,2039,6,9
759,2053,6,9
760,2058,6,8
761,2037,6,8
762,2053,6,9
763,2037,6,8
764,2059,6,8
765,2041,6,9
766,2039,6,9
767,2042,6,9
768,2029,6,9
769,2037,6,8
770,2026,6,8
771,2028,6,8
772,2026,6,8
773,2027,6,9
774,2031,6,8
775,2026,6,8
776,2031,6,9
777,2031,6,8
778,2053,6,9
779,2021,6,9
780,2026,6,8
781,2013,6,8
782,2033,6,8
783,2029,6,9
784,2031,6,9
